subset,marker,kind,family,n_PBS,n_GCV,PBS_median,GCV_median,PBS_q25,PBS_q75,GCV_q25,GCV_q75,status,p_exact,rank_biserial,median_difference,hodges_lehmann_shift,q_family,family_test_count,q_all_tests
Saved: cd177- all neutrophils/padi4+ mx1+,CD45,saved gate,Exploratory subset MFI,1,2,28633.308476344337,22509.932002172434,28633.308476344337,28633.308476344337,20911.28058604479,24108.583418300073,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/padi4+ mx1+,Ly6G,saved gate,Exploratory subset MFI,1,2,13493.473744190893,35491.78202626897,13493.473744190893,13493.473744190893,34498.864919574815,36484.69913296313,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cd177- all neutrophils/padi4+ mx1+,F4/80,saved gate,Exploratory subset MFI,1,2,10833.170619893264,-6026.621777707223,10833.170619893264,10833.170619893264,-6168.019915569431,-5885.223639845016,insufficient mice with >=20 subset events,,,,,,170.0,
Saved: cxcr4+,OSM,saved gate,Exploratory subset MFI,6,5,-4103.712419574498,270.0778734812477,-9855.716222935042,-837.6050574168185,-9873.532847123155,8854.011079709522,tested,0.5367965367965368,0.2666666666666666,4373.790293055746,4248.956975091742,1.0,170.0,1.0
Saved: cxcr4+,CXCR4,saved gate,Exploratory subset MFI,6,5,4271.468369129785,2934.5619563149007,3797.3284133606726,5296.341602725617,2615.1977796596384,4069.956304292943,tested,0.12554112554112554,-0.6,-1336.9064128148843,-1308.1516726606492,0.7622139764996907,170.0,0.8055555555555556
Saved: cxcr4+,MX1,saved gate,Exploratory subset MFI,6,5,109.90430710811614,491.5841638370944,-1012.2720230917433,1286.6521123761468,-2095.4831955890572,2993.0354590615952,tested,0.9307359307359307,0.06666666666666665,381.6798567289783,381.6798567289783,1.0,170.0,1.0
Saved: cxcr4+,PADI4,saved gate,Exploratory subset MFI,6,5,2384.2993977940405,1929.4298030855139,2190.7834805550656,2605.7753036958156,1897.6324503591886,3218.446469077882,tested,0.9307359307359307,-0.06666666666666665,-454.8695947085266,-261.20574772091754,1.0,170.0,1.0
Saved: cxcr4+,NAMPT,saved gate,Exploratory subset MFI,6,5,52.42628366663365,217.9113599720215,-23.848089914593213,84.77398534804158,-46.17659827025736,312.28682940921976,tested,0.6623376623376623,0.19999999999999996,165.48507630538785,134.99120655740228,1.0,170.0,1.0
Saved: cxcr4+,CD177,saved gate,Exploratory subset MFI,6,5,-7394.133667774675,-6084.860848708856,-8631.219535416152,-5944.254380407288,-9338.15182793143,-6037.535075336634,tested,0.9307359307359307,-0.06666666666666665,1309.272819065819,-327.22417271213453,1.0,170.0,1.0
Saved: cxcr4+,CD11b,saved gate,Exploratory subset MFI,6,5,11769.853200611631,12226.952799769851,8542.343942863336,14363.108468472441,10681.502512376479,17526.64415033533,tested,0.6623376623376623,0.19999999999999996,457.09959915822037,1588.9568397963994,1.0,170.0,1.0
